Sensor_id	Data_received	Time	Date0	23.54	141644	20161020
1	22.45	141925	20161020
0	23.35	141925	20161020
0	23.35	141926	20161020
1	22.45	141926	20161020
0	23.35	141928	20161020
1	22.45	141928	20161020
0	23.52	141929	20161020
1	22.12	141929	20161020
0	23.52	141931	20161020
1	22.12	141931	20161020
0	23.52	141932	20161020
1	22.12	141932	20161020
1	22.15	141934	20161020
0	23.73	141934	20161020
1	22.15	141935	20161020
0	23.73	141935	20161020
1	22.64	141937	20161020
0	23.60	141937	20161020
0	23.60	141938	20161020
1	22.64	141938	20161020
0	23.60	141940	20161020
1	22.64	141940	20161020
0	23.56	141941	20161020
1	22.62	141941	20161020
1	22.62	141943	20161020
0	23.56	141943	20161020
0	23.56	141944	20161020
1	22.62	141944	20161020
0	23.95	141946	20161020
1	22.38	141946	20161020
0	23.95	141947	20161020
1	22.38	141947	20161020
0	23.95	141949	20161020
1	22.38	141949	20161020
1	22.38	141950	20161020
0	23.95	141950	20161020
0	23.95	141952	20161020
1	22.38	141952	20161020
1	22.38	141953	20161020
0	23.95	141953	20161020
1	22.57	141955	20161020
0	23.98	141955	20161020
1	22.57	141956	20161020
0	23.98	141956	20161020
0	23.31	141958	20161020
1	22.58	141958	20161020
0	23.31	141959	20161020
1	22.58	141959	20161020
0	23.31	14201	20161020
1	22.58	14201	20161020
0	23.31	14202	20161020
1	22.58	14202	20161020
0	23.31	14204	20161020
1	22.58	14204	20161020
0	23.31	14205	20161020
1	22.58	14205	20161020
0	23.31	14207	20161020
1	22.58	14207	20161020
0	23.31	14208	20161020
1	22.58	14208	20161020
1	22.58	142010	20161020
0	23.31	142010	20161020
0	23.31	142011	20161020
1	22.58	142011	20161020
1	22.58	142013	20161020
0	23.31	142013	20161020
0	23.31	142014	20161020
1	22.58	142014	20161020
0	23.31	142016	20161020
1	22.58	142016	20161020
0	23.31	142017	20161020
1	22.58	142017	20161020
0	23.31	142019	20161020
1	22.58	142019	20161020
0	23.31	142020	20161020
1	22.58	142020	20161020
0	23.31	142022	20161020
1	22.58	142022	20161020
0	23.31	142023	20161020
1	22.58	142023	20161020
0	23.31	142025	20161020
1	22.58	142025	20161020
0	23.31	142026	20161020
1	22.58	142026	20161020
0	23.31	142028	20161020
1	22.58	142028	20161020
0	23.31	142029	20161020
1	22.58	142029	20161020
0	23.31	142031	20161020
1	22.58	142031	20161020
0	23.31	142032	20161020
1	22.58	142032	20161020
0	23.31	142034	20161020
1	22.58	142034	20161020
0	23.31	142035	20161020
1	22.58	142035	20161020
1	22.58	142037	20161020
0	23.31	142037	20161020
0	NaN	142038	20161020
1	22.05	142038	20161020
1	22.05	142040	20161020
0	NaN	142040	20161020
1	22.05	142041	20161020
0	NaN	142041	20161020
0	NaN	142043	20161020
1	22.05	142043	20161020
0	NaN	142044	20161020
1	22.05	142044	20161020
0	NaN	142046	20161020
1	22.05	142046	20161020
0	NaN	142047	20161020
1	22.05	142047	20161020
1	22.05	142049	20161020
0	NaN	142049	20161020
0	NaN	142050	20161020
1	22.05	142050	20161020
0	NaN	142052	20161020
1	22.05	142052	20161020
0	NaN	142053	20161020
1	22.05	142053	20161020
0	NaN	142055	20161020
1	22.05	142055	20161020
0	NaN	142056	20161020
1	22.05	142056	20161020
1	22.05	142058	20161020
0	NaN	142058	20161020
0	NaN	142059	20161020
1	22.05	142059	20161020
0	NaN	14211	20161020
1	22.05	14211	20161020
0	NaN	14212	20161020
1	22.05	14212	20161020
1	22.05	14214	20161020
0	NaN	14214	20161020
0	NaN	14215	20161020
1	22.05	14215	20161020
0	NaN	14217	20161020
1	22.05	14217	20161020
0	NaN	14218	20161020
1	22.05	14218	20161020
0	NaN	142110	20161020
1	22.05	142110	20161020
1	23.20	142111	20161020
0	NaN	142111	20161020
0	NaN	142113	20161020
1	23.20	142113	20161020
0	NaN	142114	20161020
1	23.20	142114	20161020
0	NaN	142116	20161020
1	23.20	142116	20161020
0	NaN	142117	20161020
1	23.20	142117	20161020
0	NaN	142119	20161020
1	23.20	142119	20161020
0	NaN	142120	20161020
1	23.20	142120	20161020
0	NaN	142122	20161020
1	23.20	142122	20161020
0	NaN	142123	20161020
1	23.20	142123	20161020
0	NaN	142125	20161020
1	23.20	142125	20161020
0	NaN	142126	20161020
1	23.20	142126	20161020
1	23.20	142128	20161020
0	NaN	142128	20161020
0	NaN	142129	20161020
1	23.20	142129	20161020
